history_id,order_id,store_id,category,weekday,hour,menu_count,store_load,weather,base_cooking_min,correction_factor,predicted_cooking_min,actual_cooking_min
COOK-0024,HIST-0024,S-008,중식,1,20,2,2,CLEAR,21,0.97,21,23
COOK-0025,HIST-0025,S-012,족발·보쌈,0,21,2,1,CLOUDY,27,1.08,28,26
COOK-0026,HIST-0026,S-009,도시락,0,12,2,5,CLEAR,16,1.05,20,18
COOK-0027,HIST-0027,S-011,카페,5,13,3,8,CLEAR,9,1.02,12,11
COOK-0028,HIST-0028,S-007,샐러드,5,12,3,3,CLOUDY,11,1.03,13,14
COOK-0029,HIST-0029,S-003,한식,5,21,1,4,RAIN,19,1.02,22,22
COOK-0030,HIST-0030,S-006,돈까스,6,12,1,3,CLEAR,20,0.94,21,23
COOK-0031,HIST-0031,S-009,도시락,6,18,3,2,CLEAR,16,1.05,17,20
COOK-0032,HIST-0032,S-007,샐러드,0,13,2,5,CLOUDY,11,1.03,11,15
COOK-0033,HIST-0033,S-002,버거,6,11,1,8,CLOUDY,17,0.97,17,20
COOK-0034,HIST-0034,S-003,한식,2,13,1,3,CLEAR,19,1.02,17,22
COOK-0035,HIST-0035,S-005,분식,5,19,2,7,RAIN,14,1.09,16,15
COOK-0036,HIST-0036,S-003,한식,6,13,2,7,CLEAR,19,1.02,19,20
COOK-0037,HIST-0037,S-002,버거,3,21,1,8,CLOUDY,17,0.97,15,16
COOK-0038,HIST-0038,S-004,피자,2,20,2,4,CLEAR,24,0.92,24,27
COOK-0039,HIST-0039,S-012,족발·보쌈,3,12,1,7,CLEAR,27,1.08,32,39
COOK-0040,HIST-0040,S-003,한식,0,19,2,5,RAIN,19,1.02,21,21
COOK-0041,HIST-0041,S-010,일식,0,13,1,6,CLEAR,18,0.99,16,18
COOK-0042,HIST-0042,S-010,일식,4,18,1,6,CLEAR,18,0.99,16,18
COOK-0043,HIST-0043,S-007,샐러드,1,13,3,2,CLEAR,11,1.03,10,9
COOK-0044,HIST-0044,S-003,한식,6,20,2,6,CLEAR,19,1.02,22,22
COOK-0045,HIST-0045,S-003,한식,2,21,3,0,CLEAR,19,1.02,23,25
COOK-0046,HIST-0046,S-002,버거,4,13,2,8,CLEAR,17,0.97,19,20
COOK-0047,HIST-0047,S-010,일식,6,17,1,3,RAIN,18,0.99,16,21
COOK-0048,HIST-0048,S-005,분식,6,21,2,0,CLOUDY,14,1.09,16,18
COOK-0049,HIST-0049,S-004,피자,5,17,1,5,CLEAR,24,0.92,24,28
COOK-0050,HIST-0050,S-003,한식,0,12,2,0,CLEAR,19,1.02,21,21
COOK-0051,HIST-0051,S-002,버거,5,12,3,2,CLEAR,17,0.97,20,21
COOK-0052,HIST-0052,S-001,치킨,0,13,3,7,RAIN,22,1.02,24,31
COOK-0053,HIST-0053,S-003,한식,3,20,1,2,RAIN,19,1.02,17,19
COOK-0054,HIST-0054,S-011,카페,3,17,3,4,RAIN,9,1.02,7,5
COOK-0055,HIST-0055,S-006,돈까스,3,12,3,1,CLOUDY,20,0.94,21,24
COOK-0056,HIST-0056,S-009,도시락,5,18,3,2,CLEAR,16,1.05,18,18
COOK-0057,HIST-0057,S-007,샐러드,1,13,2,7,CLOUDY,11,1.03,12,17
COOK-0058,HIST-0058,S-008,중식,3,13,3,1,CLEAR,21,0.97,18,22
COOK-0059,HIST-0059,S-002,버거,3,18,2,6,RAIN,17,0.97,17,17
COOK-0060,HIST-0060,S-004,피자,6,13,1,2,CLOUDY,24,0.92,23,22
COOK-0061,HIST-0061,S-001,치킨,2,20,1,1,CLEAR,22,1.02,22,27
COOK-0062,HIST-0062,S-006,돈까스,3,20,3,4,RAIN,20,0.94,20,19
COOK-0063,HIST-0063,S-008,중식,0,19,3,4,CLEAR,21,0.97,18,17
COOK-0064,HIST-0064,S-011,카페,1,20,1,6,CLEAR,9,1.02,10,9
COOK-0065,HIST-0065,S-003,한식,5,18,2,0,CLEAR,19,1.02,20,19
COOK-0066,HIST-0066,S-005,분식,5,17,2,7,CLEAR,14,1.09,16,22
COOK-0067,HIST-0067,S-007,샐러드,3,17,1,5,RAIN,11,1.03,13,14
COOK-0068,HIST-0068,S-012,족발·보쌈,4,11,1,7,RAIN,27,1.08,32,32
COOK-0069,HIST-0069,S-006,돈까스,1,20,2,7,CLEAR,20,0.94,17,23
COOK-0070,HIST-0070,S-008,중식,3,12,1,1,CLEAR,21,0.97,21,25
COOK-0071,HIST-0071,S-001,치킨,2,11,1,8,CLEAR,22,1.02,22,27
COOK-0072,HIST-0072,S-007,샐러드,3,13,2,0,CLEAR,11,1.03,15,14
COOK-0073,HIST-0073,S-005,분식,1,20,2,0,CLEAR,14,1.09,13,11
COOK-0074,HIST-0074,S-005,분식,2,11,2,3,CLEAR,14,1.09,15,19
COOK-0075,HIST-0075,S-005,분식,0,19,2,4,RAIN,14,1.09,14,11
COOK-0076,HIST-0076,S-010,일식,3,11,3,8,CLOUDY,18,0.99,18,17
COOK-0077,HIST-0077,S-002,버거,4,17,1,8,CLEAR,17,0.97,17,21
COOK-0078,HIST-0078,S-001,치킨,0,13,3,4,CLOUDY,22,1.02,21,24
COOK-0079,HIST-0079,S-007,샐러드,4,18,1,8,RAIN,11,1.03,13,13
COOK-0080,HIST-0080,S-006,돈까스,4,12,2,2,CLEAR,20,0.94,17,18
